gendered,non_gendered
Dier Betriebsrät_in vertritt die Interessen der Angestellten im Unternehmen.,Der Betriebsrat vertritt die Interessen der Angestellten im Unternehmen.
Dier SystembetreuerIn überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.,Der Systembetreuer überwachte die IT-Infrastruktur des Unternehmens und sorgte für eine reibungslose Funktionalität.
Dier Parlamentarier_in stimmte gegen das neue Gesetz.,Der Parlamentarier stimmte gegen das neue Gesetz.
Deren Dozent/intätigkeit umfasst Vorlesungen und Seminare.,Ihre Dozentintätigkeit umfasst Vorlesungen und Seminare.
Die optimale Teilnehmer*innenzahl für das Teambuilding-Event liegt bei 10 bis 15 Personen.,Die optimale Teilnehmerzahl für das Teambuilding-Event liegt bei 10 bis 15 Personen.
Dier Exot*in faszinierte alle mit deren ungewöhnlichen Lebensweise.,Die Exotin faszinierte alle mit ihrer ungewöhnlichen Lebensweise.
Das Elternteil hat bereits die Geburtstagsgeschenke besorgt.,Der Vater hat bereits die Geburtstagsgeschenke besorgt.
Dier Brandschutzbeauftragte überprüfte die Feuerlöscher im Gebäude.,Die Brandschutzbeauftragte überprüfte die Feuerlöscher im Gebäude.
Nach dem Studium wurde dey sachverständige Person im öffentlichen Dienst.,Nach dem Studium wurde sie Assessorin im öffentlichen Dienst.
Die Krebspatient*innen erhielten umfassende Unterstützung und Behandlung durch ein spezialisiertes Team.,Die Krebspatienten erhielten umfassende Unterstützung und Behandlung durch ein spezialisiertes Team.
"Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären.","Die Tatbeteiligten wurden zur Vernehmung ins Revier gebracht, um ihre Rollen im Vorfall zu klären."
"Dier Assistenzärzt/in führte die Operation eigenständig durch, da dey bereits viel Erfahrung sammeln konnte.","Die Assistenzärztin führte die Operation eigenständig durch, da sie bereits viel Erfahrung sammeln konnte."
Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten DarstellerInnen besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellern besetzt.
Dier Urlauber*in entspannte sich am Strand und genoss die warme Sonne.,Der Urlauber entspannte sich am Strand und genoss die warme Sonne.
Die bankausraubende Person verübt Straftaten gegen Finanzinstitute.,Die Bankräuberin verübt Straftaten gegen Finanzinstitute.
"Dey nahm einen Student/injob an, um deren Studium zu finanzieren.","Er nahm einen Studentenjob an, um sein Studium zu finanzieren."
"Die InterviewerInnen bereiteten sich gründlich auf das Gespräch vor, um alle relevanten Themen abzudecken.","Die Interviewerinnen bereiteten sich gründlich auf das Gespräch vor, um alle relevanten Themen abzudecken."
Dier [Fahrzeug-]Lenker:in fuhr vorsichtig durch den dichten Verkehr.,Die [Fahrzeug-]Lenkerin fuhr vorsichtig durch den dichten Verkehr.
Dier Gäst_inwirt_in servierte köstliche regionale Gerichte.,Die Gästinwirtin servierte köstliche regionale Gerichte.
"Der Hausservice sorgt dafür, dass das Hotel immer sauber und ordentlich ist.","Der Hausherr sorgt dafür, dass das Hotel immer sauber und ordentlich ist."
Dier Direktor*in hielt eine Rede vor der gesamten Schule.,Der Direktor hielt eine Rede vor der gesamten Schule.
"Die Sklav_innen wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufseher_innen streng überwacht wurden.","Die Sklaven wurden gezwungen, unzählige Stunden ohne Pause zu arbeiten, während sie von ihren Aufsehern streng überwacht wurden."
Die Geschäftspersonen trafen sich zu einer wichtigen Besprechung.,Die Geschäftsmänner trafen sich zu einer wichtigen Besprechung.
Die Autoherstellenden brachten ein neues Modierl auf den Markt.,Die Autoherstellerin brachte ein neues Modierl auf den Markt.
... Wie viele Nutzer*innen hat das Fitnessstudio?,... Wie viele Nutzer hat das Fitnessstudio?
