non_gendered,gendered,predicted
Das bürgerwissenschaftliche Projekt sammelte Daten zur Luftqualität.,Das bürger:inwissenschaftliche Projekt sammelte Daten zur Luftqualität.,Das bürgerwissenschaftliche Projekt sammelte Daten zur Luftqualität.
Die Täter wurden nach einer gründlichen Untersuchung von der Polizei festgenommen.,Die Tatpersonen wurden nach einer gründlichen Untersuchung von der Polizei festgenommen.,Die Tatpersonen wurden nach einer gründlichen Untersuchung von der Polizei festgenommen.
Der Sozialversicherungsfachangestellte beriet zu Fragen der Renten- und Krankenversicherung.,Die in der Sozialversicherung fachangestellte Person beriet zu Fragen der Renten- und Krankenversicherung.,Die Sozialversicherungsfrau beriet zu Fragen der Renten- und Krankenversicherung.
Der Täter wurde nach einer gründlichen Untersuchung von der Polizei festgenommen.,Die Tatperson wurde nach einer gründlichen Untersuchung von der Polizei festgenommen.,Die Tatfrau wurde nach einer gründlichen Untersuchung von der Polizei festgenommen.
Der Schülerinausweis dient als Nachweis für die Schülerinermäßigung.,Der SchülerInausweis dient als Nachweis für die SchülerInermäßigung.,Der Schülerausweis dient als Nachweis für die Schülerermäßigung.
Die Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Dier Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.,Der Kreisbeigeordnete ist für die sozialen Belange im Landkreis zuständig.
Der Schutz von Kundindaten hat bei uns höchste Priorität.,Der Schutz der Daten der Kundschaft hat bei uns höchste Priorität.,Der Schutz der Daten der Kundin hat bei uns höchste Priorität.
Der Bundeskanzler hielt eine Rede zur Lage der Nation.,Dier Bundeskanzler/in hielt eine Rede zur Lage der Nation.,Der Bundeskanzler hielt eine Rede zur Lage der Nation.
Die Träger des Preises wurden für ihre herausragenden Leistungen geehrt.,Die TrägerInnen des Preises wurden für ihre herausragenden Leistungen geehrt.,Die Trägerinnen des Preises wurden für ihre herausragenden Leistungen geehrt.
Der Fachwirt optimierte die Prozesse im Unternehmen.,Dier Fachwirt:in optimierte die Prozesse im Unternehmen.,Die Fachwirtin optimierte die Prozesse im Unternehmen.
Der Workshopleiter erklärte den Teilnehmern die Ziele und den Ablauf des Seminars.,Die Workshopleitung erklärte den Teilnehmenden die Ziele und den Ablauf des Seminars.,Die Workshopleiterin erklärte den Teilnehmerinnen die Ziele und den Ablauf des Seminars.
Der Bewohner in München hat mit einer sehr hohen Miete zu kämpfen.,Dier Bewohnende in München hat mit einer sehr hohen Miete zu kämpfen.,Die Bewohnende in München hat mit einer sehr hohen Miete zu kämpfen.
Die Handwerkerinnen renovierten das historische Gebäude.,Die Handwerker*innen renovierten das historische Gebäude.,Die Handwerker renovierten das historische Gebäude.
Der Kritiker analysierte den Film mit einem geschulten Blick und teilte seine Meinung darüber in seiner Kolumne für die Zeitung.,Dier Kritiker/in analysierte den Film mit einem geschulten Blick und teilte deren Meinung darüber in deren Kolumne für die Zeitung.,Der Kritiker analysierte den Film mit einem geschulten Blick und teilte seine Meinung darüber in seinem Kolumne für die Zeitung.
Der Wirtschaftsprüfer überprüfte die Bücher des Unternehmens auf Unregelmäßigkeiten.,Die wirtschaftsprüfende Person überprüfte die Bücher des Unternehmens auf Unregelmäßigkeiten.,Die Wirtschaftsprüferin überprüfte die Bücher des Unternehmens auf Unregelmäßigkeiten.
Die Steuerhinterzieherin wurde von den Finanzbehörden ermittelt und muss mit rechtlichen Konsequenzen rechnen.,Dier Steuerhinterzieher_in wurde von den Finanzbehörden ermittelt und muss mit rechtlichen Konsequenzen rechnen.,Der Steuerhinterzieher wurde von den Finanzbehörden ermittelt und muss mit rechtlichen Konsequenzen rechnen.
Sie ist eine überzeugte Pazifistin und lehnt Gewalt ab.,Dey ist eine überzeugte pazifistische Person und lehnt Gewalt ab.,Sie ist eine überzeugte pazifistische Person und lehnt Gewalt ab.
Der Interpret sang eine neue Oper.,Dier Interpret_in sang eine neue Oper.,Der Interpret sang eine neue Oper.
"Der Manipulant versuchte, die Ergebnisse zu beeinflussen.","Dier Manipulant*in versuchte, die Ergebnisse zu beeinflussen.","Die Manipulantin versuchte, die Ergebnisse zu beeinflussen."
Verschiedene Medienanbieter berichteten über das Ereignis aus verschiedenen Blickwinkeln.,Verschiedene MedienanbieterInnen berichteten über das Ereignis aus verschiedenen Blickwinkeln.,Verschiedene Medienanbieter berichteten über das Ereignis aus verschiedenen Blickwinkeln.
Die Brüder und Schwestern trafen sich zum Familienfest.,Die Geschwister trafen sich zum Familienfest.,Die Schwester trafen sich zum Familienfest.
Der Rettungsassistent leistete erste Hilfe am Unfallort.,Dier Rettungsassistent:in leistete erste Hilfe am Unfallort.,Der Rettungsassistent leistete erste Hilfe am Unfallort.
Die Lehrerinnen diskutierten in der Pause über neue Unterrichtsmethoden.,Die LehrerInnen diskutierten in der Pause über neue Unterrichtsmethoden.,Die Lehrerinnen diskutierten in der Pause über neue Unterrichtsmethoden.
"Der regelmäßige Kundenkontakt ist wichtig, um die Bedürfnisse der Kunden besser zu verstehen.","Der regelmäßige Kund:inkontakt ist wichtig, um die Bedürfnisse der Kund:innen besser zu verstehen.","Der regelmäßige Kundinkontakt ist wichtig, um die Bedürfnisse der Kundinnen besser zu verstehen."
"Eine betriebliche Mentorin half den neuen Angestellten, sich einzuarbeiten.","Ein*e betriebliche:r Mentor*in half den neuen Angestellten, sich einzuarbeiten.","Ein betriebliche Mentor half den neuen Angestellten, sich einzuarbeiten."
Die Spieler erzielten das entscheidende Tor im Finale.,Die Spieler*innen erzielten das entscheidende Tor im Finale.,Die Spieler erzielten das entscheidende Tor im Finale.
Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellern besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellenden besetzt.,Die Rollen in dem Theaterstück wurden von einem vielfältigen Ensemble talentierten Darstellenden besetzt.
Der Fetischist sammelte ungewöhnliche Gegenstände mit großer Leidenschaft.,Dier Fetischist*in sammelte ungewöhnliche Gegenstände mit großer Leidenschaft.,Der Fetischist sammelte ungewöhnliche Gegenstände mit großer Leidenschaft.
Eine gute Ärztin-Patientinnen-Kommunikation ist essenziell für die Behandlung.,Eine gute ÄrztIn-PatientInnen-Kommunikation ist essenziell für die Behandlung.,Eine gute Arzt-Patient-Kommunikation ist essenziell für die Behandlung.
Die Firma sucht nach Feedback von regelmäßigen Verwendern ihrer Produkte.,Die Firma sucht nach Feedback von regelmäßigen Verwender/innen ihrer Produkte.,Die Firma sucht nach Feedback von regelmäßigen Verwenderinnen ihrer Produkte.
Die Wahlfrauen wurden bei der Wahlversammlung bestimmt.,Die Wahlleute wurden bei der Wahlversammlung bestimmt.,Die Wahlfrau wurden bei der Wahlversammlung bestimmt.
Die Gastgeber bekochten den Besuch mit landestypischen Speisen.,Die Einladenden bekochten den Besuch mit landestypischen Speisen.,Die Einladenen bekochten den Besuch mit landestypischen Speisen.
"Die Tutorinnen bieten wöchentlich Sprechstunden an, um den Studentinnen bei ihren Fragen und Problemen zu helfen.","Die Tutor/innen bieten wöchentlich Sprechstunden an, um den Student/innen bei ihren Fragen und Problemen zu helfen.","Die Tutorinnen bieten wöchentlich Sprechstunden an, um den Studentinnen bei ihren Fragen und Problemen zu helfen."
Die Fasnächtlerinnen zogen bunt kostümiert durch die Straßen.,Die FasnächtlerInnen zogen bunt kostümiert durch die Straßen.,Die Fasnächtler zogen bunt kostümiert durch die Straßen.
Die Freunde trafen sich jeden Freitagabend.,Die Freund*innen trafen sich jeden Freitagabend.,Die Freundinnen trafen sich jeden Freitagabend.
Der Lesermarkt für digitale Bücher wächst stetig.,Der Leser_inmarkt für digitale Bücher wächst stetig.,Der Lesermarkt für digitale Bücher wächst stetig.
Die Teilnehmergebühr für den Yoga-Kurs beträgt 50 Euro pro Monat.,Die TeilnehmerInnengebühr für den Yoga-Kurs beträgt 50 Euro pro Monat.,Die Teilnehmergebühr für den Yoga-Kurs beträgt 50 Euro pro Monat.
Die Weltenbummler erzählten faszinierende Geschichten von ihren Reisen.,Die Weltenbummler/innen erzählten faszinierende Geschichten von ihren Reisen.,Die Weltenbummler erzählten faszinierende Geschichten von ihren Reisen.
Nur Karteninhaber haben Zugang zum exklusiven Konzert.,Nur Karteninhaber_innen haben Zugang zum exklusiven Konzert,Nur Karteninhaber haben Zugang zum exklusiven Konzert.
"Die bergmännischen Hohlräume wurden auf ihre Stabilität überprüft, um mögliche Gefahren zu vermeiden.","Die bergbaulichen Hohlräume wurden auf ihre Stabilität überprüft, um mögliche Gefahren zu vermeiden.","Die bergbaulichen Hohlräume wurden auf ihre Stabilität überprüft, um mögliche Gefahren zu vermeiden."
"Der Künstler stellte seine neuen Werke in der Galerie aus.
",Dier KünstlerIn stellte deren neuen Werke in der Galerie aus.,Der Künstler stellte seine neuen Werke in der Galerie aus.
"Der Ältestenrat traf sich, um wichtige Entscheidungen zu besprechen.","Der Ältestenrat traf sich, um wichtige Entscheidungen zu besprechen.","Der ltestenrat traf sich, um wichtige Entscheidungen zu besprechen."
Die Mannschaft gewann das Turnier.,Das Erwachsenenteam gewann das Turnier.,Das Erwachsenenteam gewann das Turnier.
Mein Adressatinnenkreis ist groß.,Mein Adressat*innenkreis ist groß.,Mein Adressatinnenkreis ist groß.
Jedes Individuum hat das Recht auf Freiheit und Sicherheit.,Jedes Individuum hat das Recht auf Freiheit und Sicherheit.,Jedes Individuum hat das Recht auf Freiheit und Sicherheit.
Das Zimmermädchen reinigte das Hotelzimmer gründlich.,Die Serviceperson reinigte das Hotelzimmer gründlich.,Die Servicepersonin reinigte das Hotelzimmer gründlich.
Die Autofahrerinnen hielten an der roten Ampel.,Die AutofahrerInnen hielten an der roten Ampel.,Die Autofahrerinnen hielten an der roten Ampel.
"Die Tutoren bieten wöchentlich Sprechstunden an, um den Studenten bei ihren Fragen und Problemen zu helfen.","Die Tutoriumsbegleitenden bieten wöchentlich Sprechstunden an, um den Studierenden bei ihren Fragen und Problemen zu helfen.","Die Tutorinnen bieten wöchentlich Sprechstunden an, um den Studierenden bei ihren Fragen und Problemen zu helfen."
Die Wirtschaftswissenschaftlerinnen untersuchen die globalen Handelsströme.,Die Wirtschaftswissenschaftler/innen untersuchen die globalen Handelsströme.,Die Wirtschaftswissenschaftlerinnen untersuchen die globalen Handelsströme.
"Die Kranke wurde von ihrer Ärztin gründlich untersucht und erhielt eine angemessene Behandlung, um ihre Genesung zu unterstützen.","Dier Kranke wurde von deren ÄrztIn gründlich untersucht und erhielt eine angemessene Behandlung, um deren Genesung zu unterstützen.","Der Kranke wurde von seinem Arzt gründlich untersucht und erhielt eine angemessene Behandlung, um seine Genesung zu unterstützen."
Die Humanistin setzte sich für die Menschenrechte ein.,Dier HumanistIn setzte sich für die Menschenrechte ein.,Der Humanist setzte sich für die Menschenrechte ein.
Der Rabbiner leitete den Gottesdienst.,Das Mitglied des Rabbinats leitete den Gottesdienst.,Das Mitglied des Rabbinats leitete den Gottesdienst.
Die Verfolgungsakteurinnen nahmen die Ermittlungen auf.,Die Verfolgungsakteur/innen nahmen die Ermittlungen auf.,Die Verfolgungsakteurinnen nahmen die Ermittlungen auf.
... Gewappnet sein gegen Cyper-Erpresser.,... Gewappnet sein gegen Cyper-Erpresser:innen.,... Gewappnet sein gegen Cyper-Erpresser.
Er ist ein echter Powermann und meistert jede Herausforderung.,Dey ist eine echte Powerperson und meistert jede Herausforderung.,Sie ist eine echte Powerperson und meistert jede Herausforderung.
Die Literaturkritikerin verfasste eine ausführliche Rezension des neuen Romans.,Dier Literaturkritiker:in verfasste eine ausführliche Rezension des neuen Romans.,Der Literaturkritiker verfasste eine ausführliche Rezension des neuen Romans.
Der Stipendiat erhielt finanzielle Unterstützung für sein Studium.,Dier Stipendiat*in erhielt finanzielle Unterstützung für deren Studium.,Die Stipendiatin erhielt finanzielle Unterstützung für ihre Studium.
Die Polizistinnen patrouillierten in der Stadt.,Die Polizeikräfte patrouillierten in der Stadt.,Die Polizeikräfte patrouillierten in der Stadt.
Der Modepapst setzte mit seinen radikalen Designs neue Trends in der Modewelt.,Dier Modepäpst:in setzte mit deren radikalen Designs neue Trends in der Modewelt.,Der Modepäpst setzte mit seinem radikalen Designs neue Trends in der Modewelt.
In diesem Salon arbeiten mehrere Friseure.,In diesem Salon arbeiten mehrere Friseur/innen.,In diesem Salon arbeiten mehrere Friseurinnen.
Die Followerin wartete gespannt auf das nächste Video.,Dier FollowerIn wartete gespannt auf das nächste Video.,Die Followerin wartete gespannt auf das nächste Video.
Die Jubilarin wurde für ihre 25-jährige Betriebszugehörigkeit geehrt.,Dier Jubilar*in wurde für deren 25-jährige Betriebszugehörigkeit geehrt.,Die Jubilarin wurde für ihre 25-jährige Betriebszugehörigkeit geehrt.
... jede wie sie möchte,... alle wie sie möchten,... all wie sie möchten
"Die Kurierin lieferte das wichtige Dokument sicher und pünktlich.
",Dier Kurier:in lieferte das wichtige Dokument sicher und pünktlich.,Der Kurier lieferte das wichtige Dokument sicher und pünktlich.
Morgen findet das Abteilungsleiterintreffen statt,Morgen findet das Abteilungsleiter/intreffen statt,Morgen findet das Abteilungsleitertreffen statt
"... Die Parteien hoffen, dass am Sonntag möglichst viele Wähler zur Urne gehen.","... Die Parteien hoffen, dass am Sonntag möglichst viele Wähler/in zur Urne gehen.","... Die Parteien hoffen, dass am Sonntag möglichst viele Wählerinnen zur Urne gehen."
Der Erziehungsberechtigte unterschrieb die Erlaubnis für den Schulausflug.,Dier Erziehungsberechtigte unterschrieb die Erlaubnis für den Schulausflug.,Der Erziehungsberechtigte unterschrieb die Erlaubnis für den Schulausflug.
"Die Salafistin predigte einen radikalen Islam, der die Werte der moderneren Gesellschaft ablehnt.","Dier Salafist/in predigte einen radikalen Islam, der die Werte der moderneren Gesellschaft ablehnt.","Der Salafist predigte einen radikalen Islam, der die Werte der moderneren Gesellschaft ablehnt."
Der Gesellschafter traf von den Anteilen zurück.,Dier Gesellschafter:in traf von den Anteilen zurück.,Die Gesellschafterin traf von den Anteilen zurück.
"Der Ärztinbesuch war notwendig, um die Symptome abklären zu lassen.","Der Ärzt_inbesuch war notwendig, um die Symptome abklären zu lassen.","Der Arztbesuch war notwendig, um die Symptome abklären zu lassen."
